"Arica","Chile","ARI","SCAR"
"Ariquemes","Brazil","AQM","SWNI"
"Arkalyk","Kazakhstan","AYK","UAUR"
"Arkhangelsk","Russia","ARH","ULAA"
"Arlit","Niger","RLT","DRZL"
"Arly","Burkina Faso","ARL","DFER"
"Armenia","Colombia","AXM","SKAR"
"Armidale","Australia","ARM","YARM"
"Armstrong","Canada","YYW","CYYW"
"Arno","Marshall Islands","AMR","-"
"Aroa","Papua New Guinea","AOA","-"
"Arona","Solomon Islands","RNA","-"
"Arona","Papua New Guinea","AON","-"
"Arorae Island","Kiribati","AIS","NGTR"
"Arrabury","Australia","AAB","YARY"
"Arraias","Brazil","AAI","SWRA"
"Arso","Indonesia","ARJ","WAJA"
"Arsuk","Greenland","JRK","-"
"Artesia","United States","ATS","KATS"
"Arthur'S Town","The Bahamas","ATC","MYCA"
"Artigas","Uruguay","ATI","SUAG"
"Arua","Uganda","RUA","HUAR"
"Aruba","Aruba","AUA","TNCA"
"Arusha","Tanzania","ARK","HTAR"
"Arutua","French Polynesia","AXR","NTGU"
"Arvaikheer","Mongolia","AVK","ZMAH"
"Arvidsjaur","Sweden","AJR","ESNX"
"Asaba","Nigeria","ABB","DNAS"
"Asahikawa","Japan","AKJ","RJEC"
"Asaloyeh","Iran","PGU","-"
"Asapa","Papua New Guinea","APP","-"
"Asau","Samoa","AAU","NSAU"
"Asbestos Hill","Canada","YAF","-"
"Asbury Pk/Monmouth Co","United States","ARX","-"
"Ascension","Bolivia","ASC","SLAS"
"Ascona","Switzerland","ACO","LSZD"
"Aseki","Papua New Guinea","AEK","-"
"Asela","Ethiopia","ALK","-"
"Ashburton","New Zealand","ASG","NZAS"
"Ashcroft","Canada","YZA","-"
"Asheville","United States","AVL","KAVL"
"Ashkhabad","Turkmenistan","ASB","UTAA"
"Ashland","United States","ASX","KASX"
"Ashley","United States","ASY","KASY"
"Asmara","Ethiopia","ASM","HHAS"
"Asosa","Ethiopia","ASO","HASO"
"Aspen","United States","ASE","KASE"
"Assab","Ethiopia","ASA","HHSB"
"Assis","Brazil","AIF","SBAS"
"Assiut","Egypt","ATZ","HEAT"
"Astoria","United States","AST","KAST"
"Astrakhan","Russia","ASF","URWA"
"Astraksetra","Indonesia","AKQ","WIAG"
"Asturias","Spain","OVD","LEAS"
"Astypalaia Island","Greece","JTY","LGPL"
"Asuncion","Paraguay","ASU","SGAS"
"Aswan","Egypt","ASW","HESN"
"Atambua","Indonesia","ABU","WRKA"
"Ataq","Yemen","AXK","OYAT"
"Atar","Mauritania","ATR","GQPA"
"Atauro","Indonesia","AUT","WPAT"
"Atbara","Sudan","ATB","HSAT"
"Atbasar","Russia","ATX","-"
"Athenes","Greece","ATH","LGAV"
"Athens","United States","AHN","KAHN"
"Athens","United States","MMI","KMMI"
"Ati","Chad","ATV","FTTI"
"Atikokan","Canada","YIB","CYIB"
"Atiu","Cook Islands","AIU","NCAT"
"Atka","United States","AKB","PAAK"
"Atkamba","Papua New Guinea","ABP","-"
"Atlanta","United States","ATL","KATL"
"Atlanta Beaver Ruin","United States","JAO","-"
"Atlanta De Kalb/Peachtree","United States","PDK","KPDK"
"Atlanta Fulton County Apt","United States","FTY","KFTY"
"Atlanta Galleria","United States","JGL","-"
"Atlantic","United States","AIO","KAIO"
"Atlantic City","United States","AIY","KAIY"
"Atlantic City Intl","United States","ACY","KACY"
"Atlantic City Steel Pier","United States","JSL","-"
"Atmautluak","United States","ATT","-"
"Atoifi","Solomon Islands","ATD","AGAT"
"Atqasuk","United States","ATK","PATQ"
"Attawapiskat","Canada","YAT","CYAT"
"Attopeu","Laos","AOU","VLAP"
"Attu Is.","United States","ATU","PATU"
"Atuona","French Polynesia","AUQ","NTMN"
"Aua","Papua New Guinea","AUI","-"
"Aubagne","France","JAH","-"
"Aubenas","France","OBS","-"
"Auburn","United States","AUN","KAUN"
"Auburn/Opelika","United States","AUO","KAUO"
"Auckland","New Zealand","AKL","NZAA"
"Auckland Mechanics","New Zealand","MHB","-"
"Augsburg","Germany","AGB","EDMA"
"Augusta","United States","AGS","KAGS"
"Augusta","United States","AUG","KAUG"
"Augustus Downs","Australia","AUD","YAGD"
"Auki","Solomon Islands","AKS","AGGA"
"Aupaluk","Canada","YPJ","-"
"Aur","Marshall Islands","AUL","-"
"Aurangabad","India","IXU","VAAU"
"Aurillac","France","AUR","LFLW"
